100, 10, 0.117
100, 11, 0.133
100, 12, 0.149
100, 13, 0.162
100, 14, 0.182
100, 15, 0.218
100, 16, 0.220
100, 17, 0.217
100, 18, 0.221
100, 19, 0.240
100, 1, 0.107
100, 20, 0.255
100, 2, 0.044
100, 3, 0.056
100, 4, 0.056
100, 5, 0.063
100, 6, 0.065
100, 7, 0.075
100, 8, 0.091
100, 9, 0.107
150, 10, 0.214
150, 11, 0.239
150, 12, 0.265
150, 13, 0.301
150, 14, 0.355
150, 15, 0.387
150, 16, 0.372
150, 17, 0.386
150, 18, 0.414
150, 19, 0.463
150, 1, 0.175
150, 20, 0.541
150, 2, 0.047
150, 3, 0.074
150, 4, 0.138
150, 5, 0.133
150, 6, 0.162
150, 7, 0.180
150, 8, 0.188
150, 9, 0.203
200, 10, 0.356
200, 11, 0.411
200, 12, 0.459
200, 13, 0.496
200, 14, 0.535
200, 15, 0.557
200, 16, 0.726
200, 17, 0.666
200, 18, 0.694
200, 19, 0.766
200, 1, 0.337
200, 20, 0.788
200, 2, 0.075
200, 3, 0.123
200, 4, 0.145
200, 5, 2.095
200, 6, 0.218
200, 7, 0.246
200, 8, 0.440
200, 9, 0.321
250, 10, 0.622
250, 11, 0.665
250, 12, 0.760
250, 13, 0.779
250, 14, 0.860
250, 15, 0.902
250, 16, 0.970
250, 17, 1.067
250, 18, 1.140
250, 19, 1.179
250, 1, 0.556
250, 20, 1.244
250, 2, 0.115
250, 3, 0.187
250, 4, 0.247
250, 5, 0.296
250, 6, 0.370
250, 7, 0.438
250, 8, 0.477
250, 9, 0.538
300, 10, 0.846
300, 11, 1.054
300, 12, 1.359
300, 13, 1.629
300, 14, 1.242
300, 15, 1.390
300, 16, 1.455
300, 17, 1.603
300, 18, 1.731
300, 19, 1.638
300, 1, 0.756
300, 20, 1.744
300, 2, 0.167
300, 3, 0.299
300, 4, 0.372
300, 5, 0.408
300, 6, 0.588
300, 7, 0.658
300, 8, 0.679
300, 9, 0.917
350, 10, 0.972
350, 11, 1.088
350, 12, 1.172
350, 13, 1.292
350, 14, 2.236
350, 15, 1.479
350, 16, 1.564
350, 17, 1.733
350, 18, 1.783
350, 19, 1.922
350, 1, 0.877
350, 20, 1.985
350, 2, 0.177
350, 3, 0.290
350, 4, 0.379
350, 5, 1.964
350, 6, 0.936
350, 7, 0.660
350, 8, 0.763
350, 9, 0.853
