100, 10, 0.097
100, 11, 0.106
100, 12, 0.115
100, 13, 0.125
100, 14, 0.137
100, 15, 0.146
100, 16, 0.156
100, 17, 0.167
100, 18, 0.179
100, 19, 0.190
100, 1, 0.062
100, 20, 0.212
100, 2, 3.358
100, 3, 0.031
100, 4, 0.040
100, 5, 0.048
100, 6, 0.061
100, 7, 0.066
100, 8, 0.076
100, 9, 0.085
150, 10, 0.176
150, 11, 0.193
150, 12, 0.212
150, 13, 0.231
150, 14, 0.251
150, 15, 0.269
150, 16, 0.290
150, 17, 0.309
150, 18, 0.329
150, 19, 0.347
150, 1, 0.142
150, 20, 0.368
150, 2, 0.048
150, 3, 1.875
150, 4, 0.073
150, 5, 0.090
150, 6, 0.107
150, 7, 0.127
150, 8, 0.143
150, 9, 0.158
200, 10, 0.293
200, 11, 0.315
200, 12, 0.342
200, 13, 0.376
200, 14, 0.400
200, 15, 0.430
200, 16, 0.461
200, 17, 0.493
200, 18, 0.523
200, 19, 0.555
200, 1, 0.251
200, 20, 0.587
200, 2, 0.087
200, 3, 0.090
200, 4, 0.118
200, 5, 0.229
200, 6, 0.182
200, 7, 0.256
200, 8, 0.227
200, 9, 0.255
250, 10, 0.439
250, 11, 0.481
250, 12, 0.551
250, 13, 0.573
250, 14, 0.610
250, 15, 0.656
250, 16, 0.696
250, 17, 0.738
250, 18, 0.802
250, 19, 0.842
250, 1, 0.399
250, 20, 0.890
250, 2, 0.082
250, 3, 0.137
250, 4, 0.181
250, 5, 0.226
250, 6, 0.292
250, 7, 0.308
250, 8, 0.353
250, 9, 0.396
300, 10, 0.624
300, 11, 0.682
300, 12, 0.740
300, 13, 0.804
300, 14, 0.867
300, 15, 0.930
300, 16, 0.984
300, 17, 1.057
300, 18, 1.104
300, 19, 1.179
300, 1, 0.588
300, 20, 1.245
300, 2, 0.217
300, 3, 23.66
300, 4, 0.264
300, 5, 0.324
300, 6, 0.390
300, 7, 0.445
300, 8, 0.505
300, 9, 0.569
350, 10, 0.860
350, 11, 0.969
350, 12, 1.020
350, 13, 1.100
350, 14, 1.176
350, 15, 1.260
350, 16, 1.334
350, 17, 1.433
350, 18, 1.519
350, 19, 1.607
350, 1, 0.856
350, 20, 1.683
350, 2, 0.153
350, 3, 74.82
350, 4, 0.363
350, 5, 0.439
350, 6, 0.530
350, 7, 0.607
350, 8, 0.690
350, 9, 0.776
50, 10, 0.041
50, 11, 0.045
50, 12, 0.049
50, 13, 0.053
50, 14, 0.059
50, 15, 0.065
50, 16, 0.068
50, 17, 0.078
50, 18, 0.078
50, 19, 0.084
50, 1, 0.018
50, 20, 0.089
50, 2, 0.012
50, 3, 0.014
50, 4, 0.017
50, 5, 0.021
50, 6, 0.036
50, 7, 0.031
50, 8, 0.033
50, 9, 0.037
